Time	RPMs
 0.00017	3480.00000
 0.00034	3540.00000
 0.00051	3540.00000
 0.00068	3540.00000
 0.00085	3540.00000
 0.00102	3540.00000
 0.00119	3540.00000
 0.00136	3540.00000
 0.00153	3540.00000
 0.00169	3540.00000
 0.00186	3540.00000
 0.00203	3540.00000
 0.00220	3600.00000
 0.00237	3540.00000
 0.00254	3540.00000
 0.00271	3540.00000
 0.00288	3540.00000
 0.00305	3540.00000
 0.00322	3540.00000
 0.00339	3540.00000
 0.00356	3540.00000
 0.00373	3540.00000
 0.00390	3600.00000
 0.00407	3540.00000
 0.00424	3540.00000
 0.00441	3540.00000
 0.00458	3540.00000
 0.00475	3540.00000
 0.00492	3540.00000
 0.00508	3540.00000
 0.00525	3540.00000
 0.00542	3600.00000
 0.00559	3600.00000
 0.00576	3540.00000
 0.00593	3540.00000
 0.00610	3540.00000
 0.00627	3540.00000
 0.00644	3540.00000
 0.00661	3540.00000
 0.00678	3540.00000
 0.00695	3540.00000
 0.00712	3600.00000
 0.00729	3600.00000
 0.00746	3600.00000
 0.00763	3540.00000
 0.00780	3540.00000
 0.00797	3540.00000
 0.00814	3540.00000
 0.00831	3540.00000
 0.00847	3540.00000
 0.00864	3540.00000
 0.00881	3540.00000
 0.00898	3600.00000
 0.00915	3540.00000
 0.00932	3540.00000
 0.00949	3540.00000
 0.00966	3540.00000
 0.00983	3540.00000
 0.01000	3540.00000
 0.01017	3540.00000
 0.01034	3540.00000
 0.01051	3600.00000
 0.01068	3600.00000
 0.01085	3540.00000
 0.01102	3540.00000
 0.01119	3540.00000
 0.01136	3540.00000
 0.01153	3540.00000
 0.01169	3540.00000
 0.01186	3540.00000
 0.01203	3540.00000
 0.01220	3600.00000
 0.01237	3600.00000
 0.01254	3600.00000
 0.01271	3540.00000
 0.01288	3540.00000
 0.01305	3540.00000
 0.01322	3540.00000
 0.01339	3540.00000
 0.01356	3540.00000
 0.01373	3540.00000
 0.01390	3540.00000
 0.01407	3600.00000
 0.01424	3600.00000
 0.01441	3540.00000
 0.01458	3540.00000
 0.01475	3540.00000
 0.01492	3540.00000
 0.01508	3540.00000
 0.01525	3540.00000
 0.01542	3540.00000
 0.01559	3600.00000
 0.01576	3600.00000
 0.01593	3540.00000
 0.01610	3540.00000
 0.01627	3540.00000
 0.01644	3540.00000
 0.01661	3540.00000
 0.01678	3540.00000
 0.01695	3540.00000
 0.01712	3540.00000
 0.01729	3540.00000
 0.01746	3540.00000
 0.01763	3540.00000
 0.01780	3540.00000
 0.01797	3540.00000
 0.01814	3540.00000
 0.01831	3540.00000
 0.01847	3540.00000
 0.01864	3540.00000
 0.01881	3600.00000
 0.01898	3600.00000
 0.01915	3540.00000
 0.01932	3540.00000
 0.01949	3540.00000
 0.01966	3540.00000
 0.01983	3540.00000
 0.02000	3540.00000
 0.02017	3540.00000
 0.02034	3540.00000
 0.02051	3540.00000
 0.02068	3540.00000
 0.02085	3540.00000
 0.02102	3540.00000
 0.02119	3540.00000
 0.02136	3540.00000
 0.02153	3540.00000
 0.02169	3540.00000
 0.02186	3540.00000
 0.02203	3540.00000
 0.02220	3540.00000
 0.02237	3540.00000
 0.02254	3600.00000
 0.02271	3600.00000
 0.02288	3540.00000
 0.02305	3540.00000
 0.02322	3540.00000
 0.02339	3540.00000
 0.02356	3540.00000
 0.02373	3540.00000
 0.02390	3540.00000
 0.02407	3540.00000
 0.02424	3540.00000
 0.02441	3540.00000
 0.02458	3540.00000
 0.02475	3540.00000
 0.02492	3540.00000
 0.02508	3540.00000
 0.02525	3540.00000
 0.02542	3540.00000
 0.02559	3540.00000
 0.02576	3600.00000
 0.02593	3600.00000
 0.02610	3540.00000
 0.02627	3540.00000
 0.02644	3540.00000
 0.02661	3540.00000
 0.02678	3540.00000
 0.02695	3540.00000
 0.02712	3540.00000
 0.02729	3540.00000
 0.02746	3600.00000
 0.02763	3540.00000
 0.02780	3540.00000
 0.02797	3540.00000
 0.02814	3540.00000
 0.02831	3540.00000
 0.02847	3540.00000
 0.02864	3540.00000
 0.02881	3540.00000
 0.02898	3600.00000
 0.02915	3600.00000
 0.02932	3540.00000
 0.02949	3540.00000
 0.02966	3540.00000
 0.02983	3540.00000
 0.03000	3540.00000
 0.03017	3540.00000
 0.03034	3540.00000
 0.03051	3540.00000
 0.03068	3540.00000
 0.03085	3600.00000
 0.03102	3600.00000
 0.03119	3540.00000
 0.03136	3540.00000
 0.03153	3540.00000
 0.03169	3540.00000
 0.03186	3540.00000
 0.03203	3540.00000
 0.03220	3540.00000
 0.03237	3600.00000
 0.03254	3600.00000
 0.03271	3540.00000
 0.03288	3540.00000
 0.03305	3540.00000
 0.03322	3540.00000
 0.03339	3540.00000
 0.03356	3540.00000
 0.03373	3540.00000
 0.03390	3540.00000
 0.03407	3540.00000
 0.03424	3600.00000
 0.03441	3540.00000
 0.03458	3540.00000
 0.03475	3540.00000
 0.03492	3540.00000
 0.03508	3540.00000
 0.03525	3540.00000
 0.03542	3540.00000
 0.03559	3540.00000
 0.03576	3600.00000
 0.03593	3600.00000
 0.03610	3540.00000
 0.03627	3540.00000
 0.03644	3540.00000
 0.03661	3540.00000
 0.03678	3540.00000
 0.03695	3540.00000
 0.03712	3540.00000
 0.03729	3540.00000
 0.03746	3600.00000
 0.03763	3600.00000
 0.03780	3540.00000
 0.03797	3540.00000
 0.03814	3540.00000
 0.03831	3540.00000
 0.03847	3540.00000
 0.03864	3540.00000
 0.03881	3540.00000
 0.03898	3540.00000
 0.03915	3540.00000
 0.03932	3600.00000
 0.03949	3600.00000
 0.03966	3540.00000
 0.03983	3540.00000
 0.04000	3540.00000
 0.04017	3540.00000
 0.04034	3540.00000
 0.04051	3540.00000
 0.04068	3540.00000
 0.04085	3600.00000
 0.04102	3600.00000
 0.04119	3540.00000
 0.04136	3540.00000
 0.04153	3540.00000
 0.04169	3540.00000
 0.04186	3540.00000
 0.04203	3540.00000
 0.04220	3540.00000
 0.04237	3540.00000
 0.04254	3540.00000
 0.04271	3600.00000
 0.04288	3600.00000
 0.04305	3540.00000
 0.04322	3540.00000
 0.04339	3540.00000
 0.04356	3540.00000
 0.04373	3540.00000
 0.04390	3540.00000
 0.04407	3540.00000
 0.04424	3540.00000
 0.04441	3600.00000
 0.04458	3540.00000
 0.04475	3540.00000
 0.04492	3540.00000
 0.04508	3540.00000
 0.04525	3540.00000
 0.04542	3540.00000
 0.04559	3540.00000
 0.04576	3540.00000
 0.04593	3540.00000
 0.04610	3600.00000
 0.04627	3540.00000
 0.04644	3540.00000
 0.04661	3540.00000
 0.04678	3540.00000
 0.04695	3540.00000
 0.04712	3540.00000
 0.04729	3540.00000
 0.04746	3540.00000
 0.04763	3540.00000
 0.04780	3600.00000
 0.04797	3540.00000
