Time	RPMs
 0.00020	3600.00000
 0.00040	3600.00000
 0.00060	3600.00000
 0.00080	3600.00000
 0.00100	3600.00000
 0.00120	3660.00000
 0.00140	3660.00000
 0.00160	3660.00000
 0.00180	3600.00000
 0.00200	3600.00000
 0.00220	3600.00000
 0.00240	3600.00000
 0.00260	3660.00000
 0.00280	3660.00000
 0.00300	3660.00000
 0.00320	3660.00000
 0.00340	3660.00000
 0.00360	3660.00000
 0.00380	3600.00000
 0.00400	3600.00000
 0.00420	3600.00000
 0.00440	3660.00000
 0.00460	3660.00000
 0.00480	3660.00000
 0.00500	3660.00000
 0.00520	3660.00000
 0.00540	3600.00000
 0.00560	3600.00000
 0.00580	3600.00000
 0.00600	3660.00000
 0.00620	3660.00000
 0.00640	3660.00000
 0.00660	3660.00000
 0.00680	3600.00000
 0.00700	3600.00000
 0.00720	3600.00000
 0.00740	3600.00000
 0.00760	3600.00000
 0.00780	3660.00000
 0.00800	3660.00000
 0.00820	3660.00000
 0.00840	3660.00000
 0.00860	3600.00000
 0.00880	3600.00000
 0.00900	3600.00000
 0.00920	3600.00000
 0.00940	3660.00000
 0.00960	3660.00000
 0.00980	3660.00000
 0.01000	3660.00000
 0.01020	3600.00000
 0.01040	3600.00000
 0.01060	3600.00000
 0.01080	3660.00000
 0.01100	3660.00000
 0.01120	3660.00000
 0.01140	3660.00000
 0.01160	3660.00000
 0.01180	3660.00000
 0.01200	3600.00000
 0.01220	3600.00000
 0.01240	3660.00000
 0.01260	3660.00000
 0.01280	3660.00000
 0.01300	3660.00000
 0.01320	3660.00000
 0.01340	3600.00000
 0.01360	3600.00000
 0.01380	3600.00000
 0.01400	3600.00000
 0.01420	3660.00000
 0.01440	3660.00000
 0.01460	3660.00000
 0.01480	3660.00000
 0.01500	3600.00000
 0.01520	3600.00000
 0.01540	3600.00000
 0.01560	3600.00000
 0.01580	3600.00000
 0.01600	3660.00000
 0.01620	3660.00000
 0.01640	3660.00000
 0.01660	3660.00000
 0.01680	3660.00000
 0.01700	3600.00000
 0.01720	3600.00000
 0.01740	3660.00000
 0.01760	3660.00000
 0.01780	3660.00000
 0.01800	3660.00000
 0.01820	3660.00000
 0.01840	3660.00000
 0.01860	3600.00000
 0.01880	3600.00000
 0.01900	3600.00000
 0.01920	3660.00000
 0.01940	3660.00000
 0.01960	3660.00000
 0.01980	3660.00000
 0.02000	3600.00000
 0.02020	3600.00000
 0.02040	3600.00000
 0.02060	3600.00000
 0.02080	3660.00000
 0.02100	3660.00000
 0.02120	3660.00000
 0.02140	3660.00000
 0.02160	3600.00000
 0.02180	3600.00000
 0.02200	3600.00000
 0.02220	3600.00000
 0.02240	3660.00000
 0.02260	3660.00000
 0.02280	3660.00000
 0.02300	3660.00000
 0.02320	3660.00000
 0.02340	3600.00000
 0.02360	3600.00000
 0.02380	3600.00000
 0.02400	3600.00000
 0.02420	3660.00000
 0.02440	3660.00000
 0.02460	3660.00000
 0.02480	3660.00000
 0.02500	3660.00000
 0.02520	3600.00000
 0.02540	3600.00000
 0.02560	3600.00000
 0.02580	3660.00000
 0.02600	3660.00000
 0.02620	3660.00000
 0.02640	3660.00000
 0.02660	3660.00000
 0.02680	3600.00000
 0.02700	3600.00000
 0.02720	3600.00000
 0.02740	3660.00000
 0.02760	3660.00000
 0.02780	3660.00000
 0.02800	3660.00000
 0.02820	3600.00000
 0.02840	3600.00000
 0.02860	3600.00000
 0.02880	3600.00000
 0.02900	3660.00000
 0.02920	3660.00000
 0.02940	3660.00000
 0.02960	3660.00000
 0.02980	3660.00000
 0.03000	3660.00000
 0.03020	3600.00000
 0.03040	3600.00000
 0.03060	3660.00000
 0.03080	3660.00000
 0.03100	3660.00000
 0.03120	3660.00000
 0.03140	3660.00000
 0.03160	3600.00000
 0.03180	3600.00000
 0.03200	3600.00000
 0.03220	3600.00000
 0.03240	3600.00000
 0.03260	3660.00000
 0.03280	3660.00000
 0.03300	3660.00000
 0.03320	3660.00000
 0.03340	3600.00000
 0.03360	3600.00000
 0.03380	3600.00000
 0.03400	3600.00000
 0.03420	3660.00000
 0.03440	3660.00000
 0.03460	3660.00000
 0.03480	3600.00000
 0.03500	3600.00000
 0.03520	3600.00000
 0.03540	3600.00000
 0.03560	3660.00000
 0.03580	3660.00000
 0.03600	3660.00000
 0.03620	3660.00000
 0.03640	3660.00000
 0.03660	3660.00000
 0.03680	3600.00000
 0.03700	3600.00000
 0.03720	3600.00000
 0.03740	3660.00000
 0.03760	3660.00000
 0.03780	3660.00000
 0.03800	3660.00000
 0.03820	3660.00000
 0.03840	3600.00000
 0.03860	3600.00000
 0.03880	3600.00000
 0.03900	3660.00000
 0.03920	3660.00000
 0.03940	3660.00000
 0.03960	3660.00000
 0.03980	3600.00000
 0.04000	3600.00000
 0.04020	3600.00000
 0.04040	3600.00000
 0.04060	3660.00000
 0.04080	3660.00000
 0.04100	3660.00000
 0.04120	3660.00000
 0.04140	3660.00000
 0.04160	3600.00000
 0.04180	3600.00000
 0.04200	3600.00000
 0.04220	3600.00000
 0.04240	3660.00000
 0.04260	3660.00000
 0.04280	3660.00000
 0.04300	3660.00000
 0.04320	3600.00000
 0.04340	3600.00000
 0.04360	3600.00000
 0.04380	3660.00000
 0.04400	3660.00000
 0.04420	3660.00000
 0.04440	3660.00000
 0.04460	3660.00000
 0.04480	3660.00000
 0.04500	3600.00000
 0.04520	3600.00000
 0.04540	3600.00000
 0.04560	3660.00000
 0.04580	3660.00000
 0.04600	3660.00000
 0.04620	3660.00000
 0.04640	3600.00000
 0.04660	3600.00000
 0.04680	3600.00000
 0.04700	3600.00000
 0.04720	3660.00000
 0.04740	3660.00000
 0.04760	3660.00000
 0.04780	3660.00000
 0.04800	3600.00000
 0.04820	3600.00000
 0.04840	3600.00000
 0.04860	3600.00000
 0.04880	3660.00000
 0.04900	3660.00000
 0.04920	3660.00000
 0.04940	3660.00000
 0.04960	3660.00000
 0.04980	3660.00000
 0.05000	3600.00000
 0.05020	3600.00000
 0.05040	3600.00000
 0.05060	3660.00000
 0.05080	3660.00000
 0.05100	3660.00000
 0.05120	3660.00000
 0.05140	3660.00000
 0.05160	3600.00000
 0.05180	3600.00000
 0.05200	3600.00000
 0.05220	3600.00000
 0.05240	3660.00000
 0.05260	3660.00000
 0.05280	3660.00000
 0.05300	3600.00000
 0.05320	3600.00000
 0.05340	3600.00000
 0.05360	3600.00000
 0.05380	3660.00000
 0.05400	3660.00000
 0.05420	3660.00000
 0.05440	3660.00000
 0.05460	3660.00000
 0.05480	3600.00000
 0.05500	3600.00000
 0.05520	3600.00000
 0.05540	3660.00000
 0.05560	3660.00000
 0.05580	3660.00000
 0.05600	3660.00000
 0.05620	3660.00000
 0.05640	3600.00000
 0.05660	3600.00000
 0.05680	3600.00000
 0.05700	3600.00000
 0.05720	3660.00000
 0.05740	3660.00000
 0.05760	3660.00000
 0.05780	3660.00000
 0.05800	3660.00000
 0.05820	3600.00000
 0.05840	3600.00000
 0.05860	3600.00000
 0.05880	3600.00000
 0.05900	3660.00000
 0.05920	3660.00000
 0.05940	3660.00000
 0.05960	3660.00000
 0.05980	3600.00000
 0.06000	3600.00000
 0.06020	3600.00000
 0.06040	3660.00000
 0.06060	3660.00000
 0.06080	3660.00000
 0.06100	3660.00000
 0.06120	3660.00000
 0.06140	3660.00000
 0.06160	3600.00000
 0.06180	3600.00000
 0.06200	3600.00000
 0.06220	3660.00000
 0.06240	3660.00000
 0.06260	3660.00000
 0.06280	3660.00000
 0.06300	3660.00000
 0.06320	3600.00000
 0.06340	3600.00000
 0.06360	3600.00000
 0.06380	3660.00000
 0.06400	3660.00000
 0.06420	3660.00000
 0.06440	3660.00000
 0.06460	3660.00000
 0.06480	3600.00000
 0.06500	3600.00000
 0.06520	3600.00000
 0.06540	3660.00000
 0.06560	3660.00000
 0.06580	3660.00000
 0.06600	3660.00000
 0.06620	3660.00000
 0.06640	3600.00000
 0.06660	3600.00000
 0.06680	3600.00000
 0.06700	3660.00000
 0.06720	3660.00000
 0.06740	3660.00000
 0.06760	3660.00000
 0.06780	3660.00000
 0.06800	3600.00000
 0.06820	3600.00000
 0.06840	3600.00000
 0.06860	3660.00000
 0.06880	3660.00000
 0.06900	3660.00000
