Time	RPMs
 0.00020	4440.00000
 0.00040	4500.00000
 0.00060	4500.00000
 0.00080	4440.00000
 0.00100	4380.00000
 0.00120	4320.00000
 0.00140	4320.00000
 0.00160	4320.00000
 0.00180	4320.00000
 0.00200	4380.00000
 0.00220	4380.00000
 0.00240	4320.00000
 0.00260	4320.00000
 0.00280	4320.00000
 0.00300	4320.00000
 0.00320	4320.00000
 0.00340	4380.00000
 0.00360	4380.00000
 0.00380	4320.00000
 0.00400	4320.00000
 0.00420	4320.00000
 0.00440	4320.00000
 0.00460	4320.00000
 0.00480	4380.00000
 0.00500	4380.00000
 0.00520	4320.00000
 0.00540	4320.00000
 0.00560	4320.00000
 0.00580	4320.00000
 0.00600	4380.00000
 0.00620	4380.00000
 0.00640	4380.00000
 0.00660	4320.00000
 0.00680	4320.00000
 0.00700	4320.00000
 0.00720	4320.00000
 0.00740	4380.00000
 0.00760	4380.00000
 0.00780	4380.00000
 0.00800	4320.00000
 0.00820	4320.00000
 0.00840	4320.00000
 0.00860	4320.00000
 0.00880	4320.00000
 0.00900	4380.00000
 0.00920	4380.00000
 0.00940	4320.00000
 0.00960	4320.00000
 0.00980	4320.00000
 0.01000	4320.00000
 0.01020	4320.00000
 0.01040	4380.00000
 0.01060	4320.00000
 0.01080	4320.00000
 0.01100	4320.00000
 0.01120	4320.00000
 0.01140	4320.00000
 0.01160	4380.00000
 0.01180	4380.00000
 0.01200	4320.00000
 0.01220	4320.00000
 0.01240	4320.00000
 0.01260	4320.00000
 0.01280	4320.00000
 0.01300	4380.00000
 0.01320	4380.00000
 0.01340	4380.00000
 0.01360	4320.00000
 0.01380	4320.00000
 0.01400	4320.00000
 0.01420	4320.00000
 0.01440	4380.00000
 0.01460	4380.00000
 0.01480	4320.00000
 0.01500	4320.00000
 0.01520	4320.00000
 0.01540	4320.00000
 0.01560	4320.00000
 0.01580	4380.00000
 0.01600	4380.00000
 0.01620	4380.00000
 0.01640	4320.00000
 0.01660	4320.00000
 0.01680	4320.00000
 0.01700	4320.00000
 0.01720	4380.00000
 0.01740	4380.00000
 0.01760	4380.00000
 0.01780	4320.00000
 0.01800	4320.00000
 0.01820	4320.00000
 0.01840	4380.00000
 0.01860	4380.00000
 0.01880	4380.00000
 0.01900	4320.00000
 0.01920	4320.00000
 0.01940	4320.00000
 0.01960	4320.00000
 0.01980	4380.00000
 0.02000	4380.00000
 0.02020	4380.00000
 0.02040	4320.00000
 0.02060	4320.00000
 0.02080	4320.00000
 0.02100	4320.00000
 0.02120	4380.00000
 0.02140	4380.00000
 0.02160	4320.00000
 0.02180	4320.00000
 0.02200	4320.00000
 0.02220	4320.00000
 0.02240	4320.00000
 0.02260	4320.00000
 0.02280	4380.00000
 0.02300	4380.00000
 0.02320	4320.00000
 0.02340	4320.00000
 0.02360	4320.00000
 0.02380	4320.00000
 0.02400	4320.00000
 0.02420	4380.00000
 0.02440	4320.00000
 0.02460	4320.00000
 0.02480	4320.00000
 0.02500	4320.00000
 0.02520	4320.00000
 0.02540	4320.00000
 0.02560	4380.00000
 0.02580	4320.00000
 0.02600	4320.00000
 0.02620	4320.00000
 0.02640	4320.00000
 0.02660	4320.00000
 0.02680	4320.00000
 0.02700	4380.00000
 0.02720	4380.00000
 0.02740	4320.00000
 0.02760	4320.00000
 0.02780	4320.00000
 0.02800	4320.00000
 0.02820	4380.00000
 0.02840	4380.00000
 0.02860	4380.00000
 0.02880	4320.00000
 0.02900	4320.00000
 0.02920	4320.00000
 0.02940	4320.00000
 0.02960	4380.00000
 0.02980	4380.00000
 0.03000	4380.00000
 0.03020	4320.00000
 0.03040	4320.00000
 0.03060	4320.00000
 0.03080	4320.00000
 0.03100	4380.00000
 0.03120	4380.00000
 0.03140	4320.00000
 0.03160	4320.00000
 0.03180	4320.00000
 0.03200	4320.00000
 0.03220	4380.00000
 0.03240	4380.00000
 0.03260	4380.00000
 0.03280	4320.00000
 0.03300	4320.00000
 0.03320	4320.00000
 0.03340	4320.00000
 0.03360	4380.00000
 0.03380	4380.00000
 0.03400	4380.00000
 0.03420	4320.00000
 0.03440	4320.00000
 0.03460	4320.00000
 0.03480	4320.00000
 0.03500	4320.00000
 0.03520	4380.00000
 0.03540	4380.00000
 0.03560	4320.00000
 0.03580	4320.00000
 0.03600	4320.00000
 0.03620	4320.00000
 0.03640	4320.00000
 0.03660	4380.00000
 0.03680	4380.00000
 0.03700	4320.00000
 0.03720	4320.00000
 0.03740	4320.00000
 0.03760	4320.00000
 0.03780	4380.00000
 0.03800	4380.00000
 0.03820	4320.00000
 0.03840	4320.00000
 0.03860	4320.00000
 0.03880	4320.00000
 0.03900	4320.00000
 0.03920	4380.00000
 0.03940	4380.00000
 0.03960	4320.00000
 0.03980	4320.00000
 0.04000	4320.00000
 0.04020	4320.00000
 0.04040	4320.00000
 0.04060	4320.00000
 0.04080	4380.00000
 0.04100	4380.00000
 0.04120	4320.00000
 0.04140	4320.00000
 0.04160	4320.00000
 0.04180	4320.00000
 0.04200	4320.00000
 0.04220	4380.00000
 0.04240	4380.00000
 0.04260	4320.00000
 0.04280	4320.00000
 0.04300	4320.00000
 0.04320	4320.00000
 0.04340	4380.00000
 0.04360	4380.00000
 0.04380	4320.00000
 0.04400	4320.00000
 0.04420	4320.00000
 0.04440	4320.00000
 0.04460	4320.00000
 0.04480	4380.00000
 0.04500	4380.00000
 0.04520	4320.00000
 0.04540	4320.00000
 0.04560	4320.00000
 0.04580	4320.00000
 0.04600	4320.00000
 0.04620	4380.00000
 0.04640	4380.00000
 0.04660	4380.00000
 0.04680	4320.00000
 0.04700	4320.00000
 0.04720	4320.00000
 0.04740	4380.00000
 0.04760	4380.00000
 0.04780	4380.00000
 0.04800	4380.00000
 0.04820	4320.00000
 0.04840	4320.00000
 0.04860	4320.00000
 0.04880	4380.00000
 0.04900	4380.00000
 0.04920	4380.00000
 0.04940	4320.00000
 0.04960	4320.00000
 0.04980	4320.00000
 0.05000	4320.00000
 0.05020	4380.00000
 0.05040	4380.00000
 0.05060	4380.00000
 0.05080	4320.00000
 0.05100	4320.00000
 0.05120	4320.00000
 0.05140	4320.00000
 0.05160	4320.00000
 0.05180	4380.00000
 0.05200	4320.00000
 0.05220	4320.00000
 0.05240	4320.00000
 0.05260	4320.00000
 0.05280	4320.00000
 0.05300	4380.00000
 0.05320	4380.00000
 0.05340	4320.00000
 0.05360	4320.00000
 0.05380	4320.00000
 0.05400	4320.00000
 0.05420	4320.00000
 0.05440	4320.00000
 0.05460	4380.00000
 0.05480	4380.00000
 0.05500	4320.00000
 0.05520	4320.00000
 0.05540	4320.00000
 0.05560	4320.00000
 0.05580	4320.00000
 0.05600	4380.00000
 0.05620	4380.00000
 0.05640	4320.00000
 0.05660	4320.00000
 0.05680	4320.00000
 0.05700	4320.00000
 0.05720	4320.00000
 0.05740	4380.00000
 0.05760	4380.00000
 0.05780	4320.00000
 0.05800	4320.00000
 0.05820	4320.00000
 0.05840	4320.00000
 0.05860	4320.00000
 0.05880	4380.00000
 0.05900	4320.00000
 0.05920	4320.00000
 0.05940	4320.00000
 0.05960	4320.00000
 0.05980	4320.00000
 0.06000	4380.00000
 0.06020	4380.00000
 0.06040	4380.00000
 0.06060	4320.00000
 0.06080	4320.00000
 0.06100	4320.00000
 0.06120	4320.00000
 0.06140	4380.00000
 0.06160	4380.00000
 0.06180	4380.00000
 0.06200	4320.00000
 0.06220	4320.00000
 0.06240	4320.00000
 0.06260	4320.00000
 0.06280	4380.00000
 0.06300	4380.00000
 0.06320	4380.00000
 0.06340	4320.00000
 0.06360	4320.00000
 0.06380	4320.00000
 0.06400	4320.00000
 0.06420	4380.00000
 0.06440	4380.00000
 0.06460	4320.00000
 0.06480	4320.00000
 0.06500	4320.00000
 0.06520	4320.00000
 0.06540	4380.00000
 0.06560	4380.00000
 0.06580	4380.00000
 0.06600	4320.00000
 0.06620	4320.00000
 0.06640	4320.00000
 0.06660	4320.00000
 0.06680	4380.00000
 0.06700	4380.00000
 0.06720	4380.00000
 0.06740	4320.00000
 0.06760	4320.00000
 0.06780	4320.00000
 0.06800	4320.00000
 0.06820	4320.00000
 0.06840	4380.00000
 0.06860	4380.00000
 0.06880	4320.00000
 0.06900	4320.00000
 0.06920	4320.00000
 0.06940	4320.00000
 0.06960	4380.00000
 0.06980	4380.00000
 0.07000	4320.00000
 0.07020	4320.00000
 0.07040	4320.00000
 0.07060	4320.00000
 0.07080	4320.00000
 0.07100	4380.00000
 0.07120	4380.00000
 0.07140	4320.00000
 0.07160	4320.00000
 0.07180	4320.00000
 0.07200	4320.00000
 0.07220	4320.00000
 0.07240	4380.00000
 0.07260	4380.00000
 0.07280	4320.00000
 0.07300	4320.00000
 0.07320	4320.00000
 0.07340	4320.00000
 0.07360	4320.00000
 0.07380	4320.00000
 0.07400	4380.00000
 0.07420	4380.00000
 0.07440	4320.00000
 0.07460	4320.00000
 0.07480	4320.00000
 0.07500	4320.00000
 0.07520	4380.00000
 0.07540	4380.00000
 0.07560	4380.00000
 0.07580	4320.00000
 0.07600	4320.00000
 0.07620	4320.00000
 0.07640	4320.00000
 0.07660	4380.00000
 0.07680	4380.00000
 0.07700	4380.00000
 0.07720	4320.00000
 0.07740	4320.00000
 0.07760	4320.00000
 0.07780	4320.00000
 0.07800	4380.00000
 0.07820	4380.00000
 0.07840	4380.00000
 0.07860	4320.00000
 0.07880	4320.00000
 0.07900	4320.00000
 0.07920	4320.00000
 0.07940	4380.00000
 0.07960	4380.00000
 0.07980	4380.00000
 0.08000	4320.00000
 0.08020	4320.00000
 0.08040	4320.00000
 0.08060	4320.00000
 0.08080	4380.00000
 0.08100	4380.00000
 0.08120	4320.00000
 0.08140	4320.00000
 0.08160	4320.00000
 0.08180	4320.00000
 0.08200	4380.00000
 0.08220	4380.00000
 0.08240	4380.00000
 0.08260	4320.00000
 0.08280	4320.00000
 0.08300	4320.00000
 0.08320	4320.00000
 0.08340	4320.00000
 0.08360	4380.00000
 0.08380	4380.00000
 0.08400	4320.00000
 0.08420	4320.00000
 0.08440	4320.00000
 0.08460	4320.00000
 0.08480	4320.00000
 0.08500	4380.00000
 0.08520	4320.00000
 0.08540	4320.00000
 0.08560	4320.00000
 0.08580	4320.00000
 0.08600	4320.00000
 0.08620	4380.00000
 0.08640	4380.00000
 0.08660	4320.00000
 0.08680	4320.00000
 0.08700	4320.00000
 0.08720	4320.00000
 0.08740	4320.00000
 0.08760	4320.00000
 0.08780	4380.00000
 0.08800	4380.00000
 0.08820	4320.00000
 0.08840	4320.00000
 0.08860	4320.00000
 0.08880	4320.00000
 0.08900	4320.00000
 0.08920	4380.00000
 0.08940	4380.00000
 0.08960	4320.00000
 0.08980	4320.00000
 0.09000	4320.00000
 0.09020	4320.00000
 0.09040	4320.00000
 0.09060	4380.00000
 0.09080	4380.00000
 0.09100	4320.00000
 0.09120	4320.00000
 0.09140	4320.00000
 0.09160	4320.00000
 0.09180	4380.00000
 0.09200	4380.00000
 0.09220	4320.00000
 0.09240	4320.00000
 0.09260	4320.00000
 0.09280	4320.00000
 0.09300	4320.00000
 0.09320	4380.00000
 0.09340	4380.00000
 0.09360	4380.00000
 0.09380	4320.00000
 0.09400	4320.00000
 0.09420	4320.00000
 0.09440	4320.00000
 0.09460	4380.00000
 0.09480	4380.00000
 0.09500	4380.00000
 0.09520	4320.00000
 0.09540	4320.00000
 0.09560	4320.00000
 0.09580	4320.00000
 0.09600	4380.00000
 0.09620	4380.00000
 0.09640	4320.00000
 0.09660	4320.00000
 0.09680	4320.00000
 0.09700	4320.00000
 0.09720	4320.00000
 0.09740	4380.00000
 0.09760	4380.00000
 0.09780	4320.00000
 0.09800	4320.00000
 0.09820	4320.00000
 0.09840	4320.00000
 0.09860	4320.00000
 0.09880	4380.00000
 0.09900	4380.00000
 0.09920	4320.00000
 0.09940	4320.00000
 0.09960	4320.00000
 0.09980	4320.00000
 0.10000	4380.00000
 0.10020	4380.00000
 0.10040	4320.00000
 0.10060	4320.00000
 0.10080	4320.00000
 0.10100	4320.00000
 0.10120	4320.00000
 0.10140	4320.00000
 0.10160	4380.00000
 0.10180	4380.00000
 0.10200	4320.00000
 0.10220	4320.00000
 0.10240	4320.00000
 0.10260	4320.00000
 0.10280	4320.00000
 0.10300	4380.00000
 0.10320	4380.00000
 0.10340	4320.00000
 0.10360	4320.00000
 0.10380	4320.00000
 0.10400	4320.00000
 0.10420	4320.00000
 0.10440	4380.00000
 0.10460	4380.00000
 0.10480	4320.00000
 0.10500	4320.00000
 0.10520	4320.00000
 0.10540	4320.00000
 0.10560	4320.00000
 0.10580	4380.00000
 0.10600	4320.00000
 0.10620	4320.00000
 0.10640	4320.00000
 0.10660	4320.00000
 0.10680	4320.00000
 0.10700	4380.00000
 0.10720	4380.00000
 0.10740	4320.00000
 0.10760	4320.00000
 0.10780	4320.00000
 0.10800	4320.00000
 0.10820	4320.00000
 0.10840	4380.00000
 0.10860	4380.00000
 0.10880	4380.00000
 0.10900	4320.00000
 0.10920	4320.00000
 0.10940	4320.00000
 0.10960	4320.00000
 0.10980	4380.00000
 0.11000	4380.00000
 0.11020	4380.00000
 0.11040	4320.00000
 0.11060	4320.00000
 0.11080	4320.00000
 0.11100	4320.00000
 0.11120	4380.00000
 0.11140	4380.00000
 0.11160	4320.00000
 0.11180	4320.00000
 0.11200	4320.00000
 0.11220	4320.00000
 0.11240	4320.00000
 0.11260	4380.00000
 0.11280	4380.00000
 0.11300	4320.00000
 0.11320	4320.00000
 0.11340	4320.00000
 0.11360	4320.00000
 0.11380	4380.00000
 0.11400	4380.00000
 0.11420	4380.00000
 0.11440	4320.00000
 0.11460	4320.00000
 0.11480	4320.00000
 0.11500	4320.00000
 0.11520	4380.00000
 0.11540	4380.00000
 0.11560	4380.00000
 0.11580	4320.00000
 0.11600	4320.00000
 0.11620	4320.00000
 0.11640	4320.00000
 0.11660	4320.00000
 0.11680	4380.00000
 0.11700	4380.00000
 0.11720	4320.00000
 0.11740	4320.00000
 0.11760	4320.00000
 0.11780	4320.00000
 0.11800	4320.00000
 0.11820	4380.00000
 0.11840	4320.00000
 0.11860	4320.00000
 0.11880	4320.00000
 0.11900	4320.00000
 0.11920	4320.00000
 0.11940	4380.00000
 0.11960	4380.00000
 0.11980	4320.00000
 0.12000	4320.00000
 0.12020	4320.00000
 0.12040	4320.00000
 0.12060	4320.00000
 0.12080	4320.00000
 0.12100	4380.00000
 0.12120	4320.00000
 0.12140	4320.00000
 0.12160	4320.00000
 0.12180	4320.00000
 0.12200	4320.00000
 0.12220	4320.00000
 0.12240	4380.00000
 0.12260	4380.00000
 0.12280	4320.00000
 0.12300	4320.00000
 0.12320	4320.00000
 0.12340	4320.00000
 0.12360	4380.00000
 0.12380	4380.00000
 0.12400	4380.00000
 0.12420	4320.00000
 0.12440	4320.00000
 0.12460	4320.00000
 0.12480	4320.00000
 0.12500	4380.00000
 0.12520	4380.00000
 0.12540	4380.00000
 0.12560	4320.00000
 0.12580	4320.00000
 0.12600	4320.00000
 0.12620	4320.00000
 0.12640	4380.00000
 0.12660	4380.00000
 0.12680	4380.00000
 0.12700	4320.00000
 0.12720	4320.00000
 0.12740	4320.00000
 0.12760	4320.00000
 0.12780	4380.00000
 0.12800	4380.00000
 0.12820	4320.00000
 0.12840	4320.00000
 0.12860	4320.00000
 0.12880	4320.00000
 0.12900	4320.00000
 0.12920	4380.00000
 0.12940	4380.00000
 0.12960	4320.00000
 0.12980	4320.00000
 0.13000	4320.00000
 0.13020	4320.00000
 0.13040	4380.00000
 0.13060	4380.00000
 0.13080	4380.00000
 0.13100	4320.00000
 0.13120	4320.00000
 0.13140	4320.00000
 0.13160	4320.00000
 0.13180	4380.00000
 0.13200	4380.00000
 0.13220	4320.00000
 0.13240	4320.00000
 0.13260	4320.00000
 0.13280	4320.00000
 0.13300	4320.00000
 0.13320	4320.00000
 0.13340	4380.00000
 0.13360	4320.00000
 0.13380	4320.00000
 0.13400	4320.00000
 0.13420	4320.00000
 0.13440	4320.00000
 0.13460	4320.00000
 0.13480	4380.00000
 0.13500	4380.00000
 0.13520	4320.00000
 0.13540	4320.00000
 0.13560	4320.00000
 0.13580	4320.00000
 0.13600	4320.00000
 0.13620	4380.00000
 0.13640	4380.00000
 0.13660	4320.00000
 0.13680	4320.00000
 0.13700	4320.00000
 0.13720	4320.00000
 0.13740	4320.00000
 0.13760	4380.00000
 0.13780	4320.00000
 0.13800	4320.00000
 0.13820	4320.00000
 0.13840	4320.00000
 0.13860	4320.00000
 0.13880	4320.00000
 0.13900	4380.00000
 0.13920	4320.00000
 0.13940	4320.00000
 0.13960	4320.00000
 0.13980	4320.00000
 0.14000	4320.00000
 0.14020	4380.00000
 0.14040	4380.00000
 0.14060	4380.00000
 0.14080	4320.00000
 0.14100	4320.00000
 0.14120	4320.00000
 0.14140	4320.00000
 0.14160	4380.00000
 0.14180	4380.00000
 0.14200	4380.00000
 0.14220	4320.00000
 0.14240	4320.00000
 0.14260	4320.00000
 0.14280	4320.00000
 0.14300	4380.00000
 0.14320	4380.00000
 0.14340	4320.00000
 0.14360	4320.00000
 0.14380	4320.00000
 0.14400	4320.00000
 0.14420	4320.00000
 0.14440	4380.00000
 0.14460	4380.00000
 0.14480	4320.00000
 0.14500	4320.00000
 0.14520	4320.00000
 0.14540	4320.00000
 0.14560	4320.00000
 0.14580	4380.00000
 0.14600	4380.00000
 0.14620	4320.00000
 0.14640	4320.00000
 0.14660	4320.00000
 0.14680	4320.00000
 0.14700	4380.00000
 0.14720	4380.00000
 0.14740	4320.00000
 0.14760	4320.00000
 0.14780	4320.00000
 0.14800	4320.00000
 0.14820	4320.00000
 0.14840	4320.00000
 0.14860	4380.00000
 0.14880	4320.00000
 0.14900	4320.00000
 0.14920	4320.00000
 0.14940	4320.00000
 0.14960	4320.00000
 0.14980	4380.00000
 0.15000	4380.00000
 0.15020	4320.00000
 0.15040	4320.00000
 0.15060	4320.00000
 0.15080	4320.00000
 0.15100	4320.00000
 0.15120	4320.00000
 0.15140	4380.00000
 0.15160	4380.00000
 0.15180	4320.00000
 0.15200	4320.00000
 0.15220	4320.00000
 0.15240	4320.00000
 0.15260	4380.00000
 0.15280	4380.00000
 0.15300	4320.00000
 0.15320	4320.00000
 0.15340	4320.00000
 0.15360	4320.00000
 0.15380	4320.00000
 0.15400	4320.00000
 0.15420	4380.00000
 0.15440	4380.00000
 0.15460	4320.00000
 0.15480	4320.00000
 0.15500	4320.00000
 0.15520	4320.00000
 0.15540	4380.00000
 0.15560	4380.00000
 0.15580	4380.00000
 0.15600	4320.00000
 0.15620	4320.00000
 0.15640	4320.00000
 0.15660	4320.00000
 0.15680	4380.00000
 0.15700	4380.00000
 0.15720	4380.00000
 0.15740	4320.00000
 0.15760	4320.00000
 0.15780	4320.00000
 0.15800	4320.00000
 0.15820	4380.00000
 0.15840	4380.00000
 0.15860	4380.00000
 0.15880	4320.00000
 0.15900	4320.00000
 0.15920	4320.00000
 0.15940	4380.00000
 0.15960	4380.00000
 0.15980	4380.00000
 0.16000	4320.00000
 0.16020	4320.00000
 0.16040	4320.00000
 0.16060	4320.00000
 0.16080	4320.00000
 0.16100	4380.00000
 0.16120	4380.00000
 0.16140	4320.00000
 0.16160	4320.00000
 0.16180	4320.00000
 0.16200	4320.00000
 0.16220	4320.00000
 0.16240	4380.00000
 0.16260	4380.00000
 0.16280	4320.00000
 0.16300	4320.00000
 0.16320	4320.00000
 0.16340	4320.00000
 0.16360	4380.00000
 0.16380	4380.00000
 0.16400	4380.00000
 0.16420	4320.00000
 0.16440	4320.00000
 0.16460	4320.00000
 0.16480	4320.00000
 0.16500	4320.00000
 0.16520	4380.00000
 0.16540	4320.00000
 0.16560	4320.00000
 0.16580	4320.00000
 0.16600	4320.00000
 0.16620	4320.00000
 0.16640	4380.00000
 0.16660	4380.00000
 0.16680	4320.00000
 0.16700	4320.00000
 0.16720	4320.00000
 0.16740	4320.00000
 0.16760	4320.00000
 0.16780	4380.00000
 0.16800	4380.00000
 0.16820	4380.00000
 0.16840	4320.00000
 0.16860	4320.00000
 0.16880	4320.00000
 0.16900	4320.00000
 0.16920	4320.00000
 0.16940	4380.00000
 0.16960	4320.00000
 0.16980	4320.00000
 0.17000	4320.00000
 0.17020	4320.00000
 0.17040	4320.00000
 0.17060	4380.00000
 0.17080	4380.00000
 0.17100	4320.00000
 0.17120	4320.00000
 0.17140	4320.00000
 0.17160	4320.00000
 0.17180	4320.00000
 0.17200	4380.00000
 0.17220	4380.00000
 0.17240	4320.00000
 0.17260	4320.00000
 0.17280	4320.00000
 0.17300	4320.00000
 0.17320	4320.00000
 0.17340	4380.00000
 0.17360	4380.00000
 0.17380	4380.00000
 0.17400	4320.00000
 0.17420	4320.00000
 0.17440	4320.00000
 0.17460	4380.00000
 0.17480	4380.00000
 0.17500	4380.00000
 0.17520	4320.00000
 0.17540	4320.00000
 0.17560	4320.00000
 0.17580	4320.00000
 0.17600	4320.00000
 0.17620	4380.00000
 0.17640	4380.00000
 0.17660	4320.00000
 0.17680	4320.00000
 0.17700	4320.00000
 0.17720	4320.00000
 0.17740	4320.00000
 0.17760	4380.00000
 0.17780	4380.00000
 0.17800	4320.00000
 0.17820	4320.00000
 0.17840	4320.00000
 0.17860	4320.00000
 0.17880	4320.00000
 0.17900	4380.00000
 0.17920	4380.00000
 0.17940	4320.00000
 0.17960	4320.00000
 0.17980	4320.00000
 0.18000	4320.00000
 0.18020	4380.00000
 0.18040	4380.00000
 0.18060	4380.00000
 0.18080	4320.00000
 0.18100	4320.00000
 0.18120	4320.00000
 0.18140	4320.00000
 0.18160	4320.00000
 0.18180	4380.00000
 0.18200	4320.00000
 0.18220	4320.00000
 0.18240	4320.00000
 0.18260	4320.00000
 0.18280	4320.00000
 0.18300	4380.00000
 0.18320	4380.00000
 0.18340	4380.00000
 0.18360	4320.00000
 0.18380	4320.00000
 0.18400	4320.00000
 0.18420	4320.00000
 0.18440	4320.00000
 0.18460	4380.00000
 0.18480	4380.00000
 0.18500	4320.00000
 0.18520	4320.00000
 0.18540	4320.00000
 0.18560	4320.00000
 0.18580	4320.00000
 0.18600	4380.00000
 0.18620	4320.00000
 0.18640	4320.00000
 0.18660	4320.00000
 0.18680	4320.00000
 0.18700	4320.00000
 0.18720	4380.00000
 0.18740	4380.00000
 0.18760	4380.00000
 0.18780	4320.00000
 0.18800	4320.00000
 0.18820	4320.00000
 0.18840	4320.00000
 0.18860	4380.00000
 0.18880	4380.00000
 0.18900	4380.00000
 0.18920	4320.00000
 0.18940	4320.00000
 0.18960	4320.00000
 0.18980	4320.00000
 0.19000	4380.00000
 0.19020	4380.00000
 0.19040	4380.00000
 0.19060	4320.00000
 0.19080	4320.00000
 0.19100	4320.00000
 0.19120	4380.00000
 0.19140	4380.00000
 0.19160	4380.00000
 0.19180	4320.00000
 0.19200	4320.00000
 0.19220	4320.00000
 0.19240	4320.00000
 0.19260	4380.00000
 0.19280	4380.00000
 0.19300	4380.00000
 0.19320	4320.00000
 0.19340	4320.00000
 0.19360	4320.00000
 0.19380	4320.00000
 0.19400	4380.00000
 0.19420	4380.00000
 0.19440	4380.00000
 0.19460	4320.00000
 0.19480	4320.00000
 0.19500	4320.00000
 0.19520	4320.00000
 0.19540	4380.00000
 0.19560	4380.00000
 0.19580	4380.00000
 0.19600	4320.00000
 0.19620	4320.00000
 0.19640	4320.00000
 0.19660	4320.00000
 0.19680	4380.00000
 0.19700	4380.00000
 0.19720	4380.00000
 0.19740	4320.00000
 0.19760	4320.00000
 0.19780	4320.00000
 0.19800	4320.00000
 0.19820	4320.00000
 0.19840	4380.00000
 0.19860	4380.00000
 0.19880	4320.00000
 0.19900	4320.00000
 0.19920	4320.00000
 0.19940	4320.00000
 0.19960	4380.00000
 0.19980	4380.00000
 0.20000	4320.00000
 0.20020	4320.00000
 0.20040	4320.00000
 0.20060	4320.00000
 0.20080	4320.00000
 0.20100	4320.00000
 0.20120	4380.00000
 0.20140	4380.00000
 0.20160	4320.00000
 0.20180	4320.00000
 0.20200	4320.00000
 0.20220	4320.00000
 0.20240	4380.00000
 0.20260	4380.00000
 0.20280	4380.00000
 0.20300	4320.00000
 0.20320	4320.00000
 0.20340	4320.00000
 0.20360	4320.00000
 0.20380	4380.00000
 0.20400	4380.00000
 0.20420	4380.00000
 0.20440	4320.00000
 0.20460	4320.00000
 0.20480	4320.00000
 0.20500	4320.00000
 0.20520	4380.00000
 0.20540	4380.00000
 0.20560	4380.00000
 0.20580	4320.00000
 0.20600	4320.00000
 0.20620	4320.00000
 0.20640	4320.00000
 0.20660	4380.00000
 0.20680	4380.00000
 0.20700	4320.00000
 0.20720	4320.00000
 0.20740	4320.00000
 0.20760	4320.00000
 0.20780	4380.00000
 0.20800	4380.00000
 0.20820	4380.00000
 0.20840	4320.00000
 0.20860	4320.00000
 0.20880	4320.00000
 0.20900	4320.00000
 0.20920	4380.00000
 0.20940	4380.00000
 0.20960	4380.00000
 0.20980	4320.00000
 0.21000	4320.00000
 0.21020	4320.00000
 0.21040	4320.00000
 0.21060	4380.00000
 0.21080	4380.00000
 0.21100	4380.00000
 0.21120	4320.00000
 0.21140	4320.00000
